protein-1,protein-2,value,type,links,FFL-X-1,FFL-X-2,FFL-X-12,FFL-X-1-R,FFL-X-2-R,FFL-X-12-R,FFL-Y-1,FFL-Y-2,FFL-Y-12,FFL-Y-1-R,FFL-Y-2-R,FFL-Y-12-R,FFL-Z-1,FFL-Z-2,FFL-Z-12,FFL-Z-1-R,FFL-Z-2-R,FFL-Z-12-R,DFFLUp-X-1,DFFLUp-X-2,DFFLUp-X-12,DFFLUp-X-1-R,DFFLUp-X-2-R,DFFLUp-X-12-R,DFFLUp-Y-1,DFFLUp-Y-2,DFFLUp-Y-12,DFFLUp-Y-1-R,DFFLUp-Y-2-R,DFFLUp-Y-12-R,DFFLDown-Y-1,DFFLDown-Y-2,DFFLDown-Y-12,DFFLDown-Y-1-R,DFFLDown-Y-2-R,DFFLDown-Y-12-R,DFFLDown-Z-1,DFFLDown-Z-2,DFFLDown-Z-12,DFFLDown-Z-1-R,DFFLDown-Z-2-R,DFFLDown-Z-12-R,C2-1,C2-2,C2-12,C2-1-R,C2-2-R,C2-12-R,C3-1,C3-2,C3-12,C3-1-R,C3-2-R,C3-12-R,C4-1,C4-2,C4-12,C4-1-R,C4-2-R,C4-12-R
sir2,hst1,545,ohnologue,1723,13989,171,0,113,80,0,5392,1892,77,53,130,0,23,145,2,2,3,0,45,0,0,4,0,0,1,0,0,0,0,0,738,0,0,2,0,0,4,23,1,0,0,0,1,0,0,0,0,0,65,10,0,3,3,0,2015,297,8,508,156,3
rsc2,rsc1,434,ohnologue,1429,2240,2162,63,201,110,3,6271,4252,520,72,108,0,139,78,10,0,2,0,4,10,0,1,0,0,6,5,0,0,5,0,590,40,0,1,40,0,24,14,3,1,0,0,1,1,0,0,0,0,48,22,0,2,2,0,1433,704,1,348,208,0
stb6,stb2,401,ohnologue,271,14,290,0,7,62,0,1073,1804,123,56,75,0,308,176,39,6,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,39,14,0,2,0,0,0,0,0,0,0,0,21,0,0,2,0,13,609,0,13,253,0
pip2,oaf1,374,ohnologue,2192,9604,6948,938,46,229,2,8486,4884,1035,86,34,0,85,59,21,1,1,0,22,39,6,0,8,0,32,16,10,0,0,0,3724,1098,395,6,9,0,18,16,8,0,1,0,5,2,0,0,0,0,85,74,3,1,5,0,2587,2158,74,327,477,22
upc2,ecm22,362,ohnologue,819,1093,1514,227,196,185,4,3363,4431,517,167,144,0,267,233,36,16,1,0,12,7,4,4,3,0,9,29,0,2,8,0,84,512,0,40,246,0,30,37,9,2,2,0,1,4,0,0,0,0,72,58,3,8,1,0,2328,1765,80,931,662,49
stp4,stp3,360,ohnologue,165,268,0,0,80,0,0,4497,0,0,375,0,0,1234,679,278,4,10,1,1,0,0,1,0,0,63,0,0,8,0,0,161,0,0,41,0,0,163,70,38,3,1,0,2,0,0,0,0,0,77,0,0,11,0,0,2389,0,0,935,0,0
met31,met32,360,ohnologue,886,577,3354,97,201,289,24,3297,5952,385,144,224,3,199,297,21,0,4,0,2,35,0,1,3,0,8,48,0,6,7,0,66,695,0,62,302,0,34,49,6,0,2,0,1,4,0,0,0,0,40,157,7,7,11,2,1224,4796,131,543,1126,57
nrg2,nrg1,307,ohnologue,1051,288,3803,268,82,258,25,5294,11729,2687,248,102,15,755,627,161,4,3,0,2,19,2,1,3,1,0,87,0,0,4,0,0,1037,0,0,67,0,114,101,33,5,3,1,0,4,0,0,0,0,39,171,1,6,3,0,1094,5175,33,465,1031,11
spt23,mga2,306,ohnologue,2935,25377,3261,1049,114,28,0,8448,13163,1752,152,84,0,59,254,14,4,4,0,85,1,1,7,0,0,33,34,0,7,10,0,3413,777,0,269,212,0,10,32,5,2,1,0,7,4,0,0,0,0,179,53,0,14,1,0,5493,1636,22,1705,430,9
yhp1,yox1,286,ohnologue,2702,11895,14660,7591,107,87,20,16017,25983,8287,109,167,2,460,1175,137,2,13,0,57,77,36,2,0,0,174,417,67,5,21,0,6555,8728,3733,84,196,0,93,99,37,4,1,0,11,22,1,0,0,0,333,667,33,8,7,0,10650,19921,1154,1297,2149,59
stp2,stp1,286,ohnologue,1229,2950,3466,217,225,108,1,5127,3344,565,97,78,0,192,55,18,4,7,0,10,22,0,3,4,0,32,9,0,1,3,0,1075,493,0,22,102,0,36,12,6,1,0,0,3,2,0,0,0,0,94,50,0,6,9,0,3218,1381,8,749,430,4
pdr3,pdr1,271,ohnologue,2384,6203,15184,2808,249,231,46,7025,12614,2026,210,177,0,122,196,12,3,3,0,15,68,5,3,2,0,45,81,3,6,6,0,1889,4906,279,511,535,1,25,37,3,2,1,0,5,9,1,0,0,0,81,218,9,6,3,0,2628,7015,273,774,1221,76
rph1,gis1,249,ohnologue,813,1447,1067,17,157,76,0,3644,4613,140,119,84,0,160,395,12,0,1,0,8,7,0,2,5,0,18,16,3,0,0,0,327,405,17,50,79,0,37,64,4,0,1,0,2,2,0,0,0,0,43,77,0,1,7,0,1525,2230,1,431,652,0
sut1,sut2,246,ohnologue,585,1909,168,58,141,29,1,6525,3397,809,116,169,1,548,728,154,2,10,0,13,1,1,2,1,1,138,0,0,10,0,0,880,0,0,194,0,0,90,91,37,5,0,0,7,0,0,0,0,0,141,43,0,9,4,0,4168,1275,14,1020,382,6
fkh2,fkh1,243,ohnologue,1485,4076,4615,485,269,129,8,9581,4694,617,310,192,2,540,84,13,13,18,0,13,10,3,6,1,0,85,13,2,9,4,0,2058,1175,162,328,308,0,61,9,3,2,0,0,8,3,1,0,0,0,197,62,10,12,11,1,6078,1980,252,1462,887,118
tos4,plm2,239,ohnologue,387,211,287,0,144,215,0,2875,1002,37,295,199,1,1722,143,70,9,7,0,0,2,0,0,2,0,45,0,0,6,0,0,148,0,0,105,0,0,143,15,11,1,1,0,3,0,0,0,0,0,119,40,0,13,16,0,3795,1173,8,1260,858,7
mig2,mig3,224,ohnologue,1976,547,15120,204,297,141,0,3082,17984,661,158,173,4,240,531,49,2,7,0,0,48,0,0,3,0,1,259,0,1,13,0,41,5585,0,41,274,0,55,70,15,2,3,0,1,18,0,0,0,0,28,376,1,7,7,0,989,11649,52,677,1865,32
hal9,tbs1,204,ohnologue,375,773,84,20,195,33,0,2512,801,85,125,81,0,193,125,12,5,8,0,1,0,0,1,0,0,18,0,0,5,0,0,199,0,0,100,0,0,31,20,4,2,1,0,2,0,0,0,0,0,40,9,0,12,1,0,1228,219,0,644,109,0
swi5,ace2,204,ohnologue,6715,20488,127030,16626,89,23,4,20065,34535,9737,135,57,3,349,220,84,22,14,5,55,370,47,2,4,0,68,181,14,2,6,0,4264,31852,1639,101,26,0,51,40,16,7,2,2,6,22,1,0,0,0,335,844,37,22,46,0,10667,25791,1443,2146,3089,109
msn2,msn4,192,ohnologue,5940,61134,27337,21606,53,71,19,62413,39693,19099,98,86,1,1406,859,204,3,5,0,215,69,42,3,1,0,858,292,60,1,1,0,32288,13753,6725,103,47,1,128,109,34,1,2,1,45,18,1,0,0,0,1377,595,58,5,1,0,40876,18450,2505,1823,1387,11
cup9,tos8,178,ohnologue,1444,4258,993,40,20,372,0,18649,4515,661,87,207,1,1089,581,320,4,3,0,8,2,0,1,2,0,174,7,0,4,3,0,2075,60,0,37,50,0,130,98,62,3,4,0,7,1,0,0,0,0,172,84,0,0,18,0,5489,2822,36,571,1484,18
aca1,cst6,155,ohnologue,2981,294,34593,51,73,25,0,4458,29584,1391,97,71,0,616,289,86,3,5,0,1,77,0,1,0,0,0,135,0,0,3,0,0,13187,0,0,26,0,95,39,17,1,0,0,0,13,0,0,0,0,23,366,0,6,3,0,779,11322,0,405,797,0
yap5,yap7,151,ohnologue,1542,4541,1850,31,250,55,0,9875,2074,203,141,112,0,450,31,5,4,5,0,15,2,0,5,1,0,65,0,0,0,0,0,1071,0,0,62,0,0,72,8,2,3,3,0,4,0,0,0,0,0,144,26,0,7,3,0,4545,777,3,1239,281,0
phd1,sok2,137,ohnologue,3020,7645,43954,4094,133,90,3,18605,31425,6716,82,161,10,1498,676,329,3,8,1,69,182,45,5,5,0,476,485,124,10,17,1,4799,20630,2029,182,272,1,186,82,51,3,1,0,18,32,1,0,0,0,585,845,48,6,10,0,17577,25526,1985,2061,2616,61
yap6,cin5,134,ohnologue,3156,10492,30308,4068,174,106,5,17377,25983,5886,93,167,3,783,471,199,1,1,0,79,116,38,3,4,0,308,239,59,1,6,0,4187,11998,1163,112,94,1,125,92,50,3,0,0,12,15,1,0,0,0,421,526,30,3,7,0,13137,16154,1140,1291,1730,33
smp1,rlm1,127,ohnologue,991,602,1679,10,258,98,0,3762,9316,606,133,155,1,477,521,152,4,4,0,2,4,0,2,0,0,17,42,0,11,4,0,154,675,0,143,56,0,83,70,36,2,3,1,2,3,0,0,0,0,80,78,0,12,2,0,2457,2568,2,1166,601,1
eds1,rgt1,126,ohnologue,629,75,1324,5,27,103,0,1270,5323,145,107,39,0,192,224,45,3,0,0,0,9,0,0,2,0,0,17,0,0,0,0,0,301,0,0,1,0,34,48,15,2,0,0,0,1,0,0,0,0,17,52,0,3,3,0,498,1711,18,280,363,17
wtm1,wtm2,597,paralogue,353,136,207,0,92,50,0,3350,4087,209,241,242,3,1318,1047,393,3,7,0,0,1,0,0,1,0,32,51,0,8,11,0,107,104,0,90,20,0,141,123,53,2,5,1,3,2,0,0,0,0,50,45,0,19,6,0,1365,1316,2,944,443,2
wtm2,ume1,336,ohnologue,170,207,0,0,50,0,0,4087,7,0,242,7,0,1047,234,50,7,5,0,1,0,0,1,0,0,51,0,0,11,0,0,104,0,0,20,0,0,123,27,6,5,1,0,2,0,0,0,0,0,45,0,0,6,0,0,1316,0,0,443,0,0
yrm1,yrr1,378,paralogue,3309,34929,2460,713,127,292,2,10789,5769,1331,331,155,0,55,210,15,2,4,0,97,10,3,1,4,0,19,36,0,2,7,0,3134,1154,0,329,399,0,12,42,5,1,2,0,4,4,1,0,0,0,149,71,8,10,5,0,4769,2299,352,1012,546,108
yrr1,pdr8,131,ohnologue,768,2460,64,0,292,47,0,5769,581,84,155,88,4,210,145,31,4,6,1,10,0,0,4,0,0,36,0,0,7,0,0,1154,0,0,399,0,0,42,27,8,2,4,2,4,0,0,0,0,0,71,19,0,5,12,0,2299,439,1,546,369,1
pdr8,yrr1,131,ohnologue,768,64,2460,0,47,292,0,581,5769,84,88,155,4,145,210,31,6,4,1,0,10,0,0,4,0,0,36,0,0,7,0,0,1154,0,0,399,0,27,42,8,4,2,2,0,4,0,0,0,0,19,71,0,12,5,0,439,2299,1,369,546,1
mal13,mal33,702,paralogue,706,111,4063,15,83,267,1,600,7257,109,83,142,0,154,332,45,2,4,0,1,16,0,1,1,0,11,22,0,7,4,0,41,868,0,36,84,0,30,47,15,0,3,0,2,3,0,1,0,0,25,160,0,9,16,0,719,5278,6,539,1487,6
isw1,isw2,471,paralogue,1634,1083,7119,336,84,58,2,2851,14155,868,83,99,0,116,279,19,3,5,0,2,16,0,1,1,0,10,56,0,6,1,0,275,2273,0,25,30,0,21,39,5,3,0,0,2,5,0,1,0,0,27,101,0,8,5,0,1098,3208,8,431,627,4
gat4,gat3,351,paralogue,652,534,1082,112,126,83,0,2404,3433,511,77,131,3,185,135,42,2,5,0,3,2,1,2,0,0,5,7,5,0,1,0,168,215,71,102,31,2,40,25,12,1,0,0,1,1,0,0,0,0,28,39,0,5,5,0,959,1150,0,448,431,0
mcm1,arg80,200,paralogue,2063,20709,1663,449,89,231,0,16167,5490,510,134,310,5,240,486,21,5,12,0,84,5,1,0,2,0,89,49,0,9,10,0,6345,368,0,138,106,0,24,59,2,1,6,0,10,4,0,0,0,0,305,127,0,4,14,0,9175,4039,13,1109,1330,0
hst3,hst4,183,paralogue,287,42,169,0,32,95,0,1867,991,18,69,168,0,336,161,41,4,4,0,0,1,0,0,1,0,11,10,0,6,0,0,7,45,0,7,35,0,48,38,14,1,1,0,1,1,0,0,0,0,3,32,0,1,13,0,274,795,0,251,478,0
hat2,msi1,154,paralogue,724,1408,607,13,88,162,0,4276,1508,92,68,157,0,145,84,14,4,1,0,5,2,0,1,2,0,11,0,0,0,0,0,161,0,0,28,0,0,28,10,5,1,0,0,1,0,0,0,0,0,32,26,0,5,7,0,1037,855,0,406,483,0
gln3,gat1,101,paralogue,1222,7302,356,47,101,218,10,8968,3462,434,103,222,0,130,791,36,1,4,0,34,0,0,4,0,0,29,57,0,0,20,0,2012,192,0,49,141,0,20,107,10,0,2,0,4,4,0,0,0,0,121,68,0,6,24,0,3729,2046,25,724,1098,15
