protein-1,protein-2,value,type,links,FFL-X-1,FFL-X-2,FFL-X-12,FFL-X-1-R,FFL-X-2-R,FFL-X-12-R,FFL-Y-1,FFL-Y-2,FFL-Y-12,FFL-Y-1-R,FFL-Y-2-R,FFL-Y-12-R,FFL-Z-1,FFL-Z-2,FFL-Z-12,FFL-Z-1-R,FFL-Z-2-R,FFL-Z-12-R,DFFLUp-X-1,DFFLUp-X-2,DFFLUp-X-12,DFFLUp-X-1-R,DFFLUp-X-2-R,DFFLUp-X-12-R,DFFLUp-Y-1,DFFLUp-Y-2,DFFLUp-Y-12,DFFLUp-Y-1-R,DFFLUp-Y-2-R,DFFLUp-Y-12-R,DFFLDown-Y-1,DFFLDown-Y-2,DFFLDown-Y-12,DFFLDown-Y-1-R,DFFLDown-Y-2-R,DFFLDown-Y-12-R,DFFLDown-Z-1,DFFLDown-Z-2,DFFLDown-Z-12,DFFLDown-Z-1-R,DFFLDown-Z-2-R,DFFLDown-Z-12-R,C2-1,C2-2,C2-12,C2-1-R,C2-2-R,C2-12-R,C3-1,C3-2,C3-12,C3-1-R,C3-2-R,C3-12-R,C4-1,C4-2,C4-12,C4-1-R,C4-2-R,C4-12-R
sir2,hst1,545,ohnologue,1723,13989,171,0,10,24,0,5392,1892,77,14,27,0,23,145,2,1,0,0,45,0,0,1,0,0,1,0,0,0,0,0,738,0,0,0,0,0,4,23,1,0,0,0,1,0,0,0,0,0,65,10,0,0,1,0,2015,297,8,117,61,1
rsc2,rsc1,434,ohnologue,1429,2240,2162,63,23,11,0,6271,4252,520,6,23,0,139,78,10,0,0,0,4,10,0,0,0,0,6,5,0,0,1,0,590,40,0,0,28,0,24,14,3,0,0,0,1,1,0,0,0,0,48,22,0,0,0,0,1433,704,1,84,62,0
stb6,stb2,401,ohnologue,271,14,290,0,3,18,0,1073,1804,123,8,14,0,308,176,39,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,39,14,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,13,609,0,9,72,0
pip2,oaf1,374,ohnologue,2192,9604,6948,938,4,22,0,8486,4884,1035,12,4,0,85,59,21,0,0,0,22,39,6,0,1,0,32,16,10,0,0,0,3724,1098,395,0,0,0,18,16,8,0,0,0,5,2,0,0,0,0,85,74,3,0,1,0,2587,2158,74,60,94,3
upc2,ecm22,362,ohnologue,819,1093,1514,227,31,31,0,3363,4431,517,26,12,0,267,233,36,3,0,0,12,7,4,1,0,0,9,29,0,0,1,0,84,512,0,6,57,0,30,37,9,0,1,0,1,4,0,0,0,0,72,58,3,1,0,0,2328,1765,80,258,130,13
stp4,stp3,360,ohnologue,165,268,0,0,13,0,0,4497,0,0,52,0,0,1234,679,278,0,1,0,1,0,0,1,0,0,63,0,0,0,0,0,161,0,0,8,0,0,163,70,38,1,0,0,2,0,0,0,0,0,77,0,0,1,0,0,2389,0,0,221,0,0
met31,met32,360,ohnologue,886,577,3354,97,48,33,1,3297,5952,385,31,20,0,199,297,21,0,0,0,2,35,0,1,1,0,8,48,0,3,0,0,66,695,0,49,105,0,34,49,6,0,0,0,1,4,0,0,0,0,40,157,7,1,1,0,1224,4796,131,170,270,8
nrg2,nrg1,307,ohnologue,1051,288,3803,268,22,36,0,5294,11729,2687,29,8,0,755,627,161,0,0,0,2,19,2,1,1,1,0,87,0,0,0,0,0,1037,0,0,4,0,114,101,33,0,1,0,0,4,0,0,0,0,39,171,1,0,0,0,1094,5175,33,121,210,2
spt23,mga2,306,ohnologue,2935,25377,3261,1049,9,0,0,8448,13163,1752,43,6,0,59,254,14,1,1,0,85,1,1,0,0,0,33,34,0,1,3,0,3413,777,0,68,18,0,10,32,5,0,1,0,7,4,0,0,0,0,179,53,0,0,0,0,5493,1636,22,400,84,2
yhp1,yox1,286,ohnologue,2702,11895,14660,7591,5,11,0,16017,25983,8287,5,21,0,460,1175,137,0,1,0,57,77,36,0,0,0,174,417,67,0,2,0,6555,8728,3733,6,40,0,93,99,37,1,0,0,11,22,1,0,0,0,333,667,33,0,2,0,10650,19921,1154,217,408,3
stp2,stp1,286,ohnologue,1229,2950,3466,217,40,8,0,5127,3344,565,14,22,0,192,55,18,1,1,0,10,22,0,0,0,0,32,9,0,0,1,0,1075,493,0,0,13,0,36,12,6,0,0,0,3,2,0,0,0,0,94,50,0,2,5,0,3218,1381,8,192,159,2
pdr3,pdr1,271,ohnologue,2384,6203,15184,2808,47,34,6,7025,12614,2026,40,31,0,122,196,12,1,0,0,15,68,5,0,0,0,45,81,3,0,1,0,1889,4906,279,101,102,0,25,37,3,0,0,0,5,9,1,0,0,0,81,218,9,0,0,0,2628,7015,273,177,230,13
rph1,gis1,249,ohnologue,813,1447,1067,17,26,5,0,3644,4613,140,16,2,0,160,395,12,0,0,0,8,7,0,0,1,0,18,16,3,0,0,0,327,405,17,3,5,0,37,64,4,0,0,0,2,2,0,0,0,0,43,77,0,1,0,0,1525,2230,1,111,110,0
sut1,sut2,246,ohnologue,585,1909,168,58,16,6,0,6525,3397,809,17,25,0,548,728,154,0,1,0,13,1,1,0,0,0,138,0,0,0,0,0,880,0,0,23,0,0,90,91,37,1,0,0,7,0,0,0,0,0,141,43,0,0,0,0,4168,1275,14,223,94,3
fkh2,fkh1,243,ohnologue,1485,4076,4615,485,25,11,2,9581,4694,617,51,37,0,540,84,13,1,4,0,13,10,3,2,0,0,85,13,2,2,1,0,2058,1175,162,76,60,0,61,9,3,1,0,0,8,3,1,0,0,0,197,62,10,1,3,0,6078,1980,252,325,276,24
tos4,plm2,239,ohnologue,387,211,287,0,37,93,0,2875,1002,37,52,54,0,1722,143,70,0,0,0,0,2,0,0,1,0,45,0,0,1,0,0,148,0,0,28,0,0,143,15,11,1,0,0,3,0,0,0,0,0,119,40,0,1,5,0,3795,1173,8,306,338,4
mig2,mig3,224,ohnologue,1976,547,15120,204,70,14,0,3082,17984,661,26,17,0,240,531,49,0,1,0,0,48,0,0,1,0,1,259,0,0,1,0,41,5585,0,37,27,0,55,70,15,0,1,0,1,18,0,0,0,0,28,376,1,1,1,0,989,11649,52,218,319,3
hal9,tbs1,204,ohnologue,375,773,84,20,49,5,0,2512,801,85,32,13,0,193,125,12,1,0,0,1,0,0,1,0,0,18,0,0,1,0,0,199,0,0,17,0,0,31,20,4,0,0,0,2,0,0,0,0,0,40,9,0,2,0,0,1228,219,0,228,19,0
swi5,ace2,204,ohnologue,6715,20488,127030,16626,4,2,0,20065,34535,9737,26,15,1,349,220,84,4,4,0,55,370,47,0,0,0,68,181,14,1,3,0,4264,31852,1639,22,0,0,51,40,16,2,0,0,6,22,1,0,0,0,335,844,37,8,6,0,10667,25791,1443,636,862,46
msn2,msn4,192,ohnologue,5940,61134,27337,21606,3,6,0,62413,39693,19099,4,6,0,1406,859,204,2,0,0,215,69,42,0,0,0,858,292,60,0,0,0,32288,13753,6725,4,2,0,128,109,34,0,0,0,45,18,1,0,0,0,1377,595,58,0,0,0,40876,18450,2505,231,191,1
cup9,tos8,178,ohnologue,1444,4258,993,40,2,66,0,18649,4515,661,14,27,0,1089,581,320,0,2,0,8,2,0,0,0,0,174,7,0,1,2,0,2075,60,0,6,20,0,130,98,62,1,0,0,7,1,0,0,0,0,172,84,0,0,0,0,5489,2822,36,81,354,1
aca1,cst6,155,ohnologue,2981,294,34593,51,8,1,0,4458,29584,1391,12,6,0,616,289,86,0,1,0,1,77,0,0,0,0,0,135,0,0,2,0,0,13187,0,0,0,0,95,39,17,0,0,0,0,13,0,0,0,0,23,366,0,0,0,0,779,11322,0,95,118,0
yap5,yap7,151,ohnologue,1542,4541,1850,31,33,7,0,9875,2074,203,16,16,0,450,31,5,0,0,0,15,2,0,1,0,0,65,0,0,0,0,0,1071,0,0,7,0,0,72,8,2,1,0,0,4,0,0,0,0,0,144,26,0,0,1,0,4545,777,3,263,69,0
phd1,sok2,137,ohnologue,3020,7645,43954,4094,9,11,0,18605,31425,6716,7,12,1,1498,676,329,0,1,0,69,182,45,1,0,0,476,485,124,0,0,0,4799,20630,2029,19,34,0,186,82,51,1,0,0,18,32,1,0,0,0,585,845,48,0,1,0,17577,25526,1985,330,395,6
yap6,cin5,134,ohnologue,3156,10492,30308,4068,22,6,0,17377,25983,5886,6,22,0,783,471,199,0,1,0,79,116,38,1,2,0,308,239,59,0,1,0,4187,11998,1163,5,8,0,125,92,50,0,0,0,12,15,1,0,0,0,421,526,30,0,0,0,13137,16154,1140,211,319,4
smp1,rlm1,127,ohnologue,991,602,1679,10,63,17,0,3762,9316,606,15,23,0,477,521,152,0,0,0,2,4,0,2,0,0,17,42,0,3,0,0,154,675,0,71,9,0,83,70,36,0,0,0,2,3,0,0,0,0,80,78,0,2,0,0,2457,2568,2,306,110,0
eds1,rgt1,126,ohnologue,629,75,1324,5,6,24,0,1270,5323,145,17,3,0,192,224,45,1,0,0,0,9,0,0,0,0,0,17,0,0,0,0,0,301,0,0,0,0,34,48,15,0,0,0,0,1,0,0,0,0,17,52,0,0,0,0,498,1711,18,81,88,3
wtm1,wtm2,597,paralogue,353,136,207,0,39,9,0,3350,4087,209,45,26,0,1318,1047,393,1,0,0,0,1,0,0,0,0,32,51,0,2,2,0,107,104,0,44,5,0,141,123,53,1,1,0,3,2,0,0,0,0,50,45,0,1,1,0,1365,1316,2,266,159,1
wtm2,ume1,336,ohnologue,170,207,0,0,9,0,0,4087,7,0,26,4,0,1047,234,50,0,2,0,1,0,0,0,0,0,51,0,0,2,0,0,104,0,0,5,0,0,123,27,6,1,0,0,2,0,0,0,0,0,45,0,0,1,0,0,1316,0,0,159,0,0
yrm1,yrr1,378,paralogue,3309,34929,2460,713,25,53,0,10789,5769,1331,80,39,0,55,210,15,2,0,0,97,10,3,0,0,0,19,36,0,0,1,0,3134,1154,0,63,86,0,12,42,5,0,1,0,4,4,1,0,0,0,149,71,8,1,1,0,4769,2299,352,264,119,22
yrr1,pdr8,131,ohnologue,768,2460,64,0,53,16,0,5769,581,84,39,18,0,210,145,31,0,1,0,10,0,0,0,0,0,36,0,0,1,0,0,1154,0,0,86,0,0,42,27,8,1,1,1,4,0,0,0,0,0,71,19,0,1,4,0,2299,439,1,119,182,1
pdr8,yrr1,131,ohnologue,768,64,2460,0,16,53,0,581,5769,84,18,39,0,145,210,31,1,0,0,0,10,0,0,0,0,0,36,0,0,1,0,0,1154,0,0,86,0,27,42,8,1,1,1,0,4,0,0,0,0,19,71,0,4,1,0,439,2299,1,182,119,1
mal13,mal33,702,paralogue,706,111,4063,15,24,27,0,600,7257,109,12,18,0,154,332,45,0,1,0,1,16,0,1,0,0,11,22,0,3,0,0,41,868,0,20,8,0,30,47,15,0,1,0,2,3,0,0,0,0,25,160,0,2,3,0,719,5278,6,195,344,6
isw1,isw2,471,paralogue,1634,1083,7119,336,7,6,1,2851,14155,868,17,8,0,116,279,19,1,1,0,2,16,0,1,0,0,10,56,0,3,0,0,275,2273,0,12,1,0,21,39,5,1,0,0,2,5,0,0,0,0,27,101,0,1,0,0,1098,3208,8,169,168,3
gat4,gat3,351,paralogue,652,534,1082,112,12,11,0,2404,3433,511,10,18,0,185,135,42,0,2,0,3,2,1,0,0,0,5,7,5,0,1,0,168,215,71,8,1,0,40,25,12,0,0,0,1,1,0,0,0,0,28,39,0,1,0,0,959,1150,0,127,132,0
mcm1,arg80,200,paralogue,2063,20709,1663,449,7,48,0,16167,5490,510,14,53,2,240,486,21,0,2,0,84,5,1,0,0,0,89,49,0,1,3,0,6345,368,0,14,57,0,24,59,2,1,0,0,10,4,0,0,0,0,305,127,0,0,4,0,9175,4039,13,202,381,0
hst3,hst4,183,paralogue,287,42,169,0,8,36,0,1867,991,18,6,43,0,336,161,41,2,1,0,0,1,0,0,0,0,11,10,0,2,0,0,7,45,0,5,18,0,48,38,14,1,0,0,1,1,0,0,0,0,3,32,0,0,0,0,274,795,0,119,178,0
hat2,msi1,154,paralogue,724,1408,607,13,12,17,0,4276,1508,92,12,33,0,145,84,14,1,1,0,5,2,0,0,0,0,11,0,0,0,0,0,161,0,0,2,0,0,28,10,5,0,0,0,1,0,0,0,0,0,32,26,0,0,1,0,1037,855,0,118,135,0
gln3,gat1,101,paralogue,1222,7302,356,47,12,80,0,8968,3462,434,17,35,0,130,791,36,0,0,0,34,0,0,0,0,0,29,57,0,0,3,0,2012,192,0,3,72,0,20,107,10,0,0,0,4,4,0,0,0,0,121,68,0,0,5,0,3729,2046,25,177,345,2
